         112120 function calls (108921 primitive calls) in 0.346 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 :0(POINTER)
        3    0.000    0.000    0.000    0.000 :0(WEXITSTATUS)
        3    0.000    0.000    0.000    0.000 :0(WIFEXITED)
        3    0.000    0.000    0.000    0.000 :0(WIFSIGNALED)
  639/638    0.009    0.000    0.036    0.000 :0(__build_class__)
       72    0.000    0.000    0.000    0.000 :0(__contains__)
        1    0.000    0.000    0.000    0.000 :0(__enter__)
        1    0.000    0.000    0.000    0.000 :0(__exit__)
   355/28    0.001    0.000    0.256    0.009 :0(__import__)
      880    0.002    0.000    0.002    0.000 :0(__new__)
       31    0.000    0.000    0.000    0.000 :0(_abc_init)
        4    0.000    0.000    0.000    0.000 :0(_abc_instancecheck)
       12    0.000    0.000    0.000    0.000 :0(_abc_register)
    29/15    0.000    0.000    0.000    0.000 :0(_abc_subclasscheck)
       13    0.000    0.000    0.000    0.000 :0(_filters_mutated)
      177    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
       14    0.000    0.000    0.000    0.000 :0(_getframe)
        1    0.000    0.000    0.000    0.000 :0(_set_factories)
        1    0.000    0.000    0.000    0.000 :0(_set_madvise_hugepage)
        1    0.000    0.000    0.000    0.000 :0(_set_sentinel)
       96    0.000    0.000    0.000    0.000 :0(abs)
        5    0.000    0.000    0.000    0.000 :0(acquire)
     1452    0.001    0.000    0.001    0.000 :0(acquire_lock)
      256    0.000    0.000    0.000    0.000 :0(add)
      299    0.000    0.000    0.000    0.000 :0(add_docstring)
      476    0.000    0.000    0.000    0.000 :0(allocate_lock)
       13    0.000    0.000    0.000    0.000 :0(any)
     6177    0.011    0.000    0.011    0.000 :0(append)
      106    0.000    0.000    0.000    0.000 :0(array)
        4    0.000    0.000    0.000    0.000 :0(ascii_iscased)
        4    0.000    0.000    0.000    0.000 :0(ascii_tolower)
        3    0.000    0.000    0.000    0.000 :0(audit)
        1    0.000    0.000    0.000    0.000 :0(bit_length)
      237    0.000    0.000    0.000    0.000 :0(calcsize)
        2    0.000    0.000    0.000    0.000 :0(callable)
        3    0.000    0.000    0.000    0.000 :0(cast)
      256    0.000    0.000    0.000    0.000 :0(chr)
        2    0.000    0.000    0.000    0.000 :0(clear)
       14    0.000    0.000    0.000    0.000 :0(close)
      356    0.014    0.000    0.014    0.000 :0(compile)
        1    0.000    0.000    0.000    0.000 :0(confstr)
        1    0.000    0.000    0.000    0.000 :0(connect)
       65    0.000    0.000    0.000    0.000 :0(copy)
        1    0.000    0.000    0.000    0.000 :0(count)
        4    0.000    0.000    0.000    0.000 :0(create_builtin)
    41/40    0.020    0.000    0.022    0.001 :0(create_dynamic)
        6    0.000    0.000    0.000    0.000 :0(decode)
        2    0.000    0.000    0.000    0.000 :0(dir)
       15    0.000    0.000    0.000    0.000 :0(discard)
       60    0.000    0.000    0.000    0.000 :0(divmod)
        1    0.000    0.000    0.000    0.000 :0(dlopen)
        1    0.000    0.000    0.000    0.000 :0(dot)
        1    0.000    0.000    0.000    0.000 :0(empty)
       66    0.000    0.000    0.000    0.000 :0(encode)
      301    0.000    0.000    0.000    0.000 :0(endswith)
        3    0.000    0.000    0.000    0.000 :0(exc_info)
    512/1    0.003    0.000    0.346    0.346 :0(exec)
        4    0.000    0.000    0.000    0.000 :0(exec_builtin)
    41/33    0.001    0.000    0.011    0.000 :0(exec_dynamic)
        1    0.000    0.000    0.000    0.000 :0(exp)
        1    0.000    0.000    0.000    0.000 :0(expandtabs)
      162    0.000    0.000    0.001    0.000 :0(extend)
        1    0.000    0.000    0.000    0.000 :0(fcntl)
        1    0.000    0.000    0.000    0.000 :0(fileno)
      452    0.001    0.000    0.001    0.000 :0(find)
        5    0.000    0.000    0.000    0.000 :0(findall)
        3    0.002    0.001    0.002    0.001 :0(fork_exec)
      619    0.001    0.000    0.001    0.000 :0(format)
      532    0.000    0.000    0.000    0.000 :0(from_bytes)
      102    0.000    0.000    0.000    0.000 :0(fromkeys)
      673    0.001    0.000    0.001    0.000 :0(fspath)
        1    0.000    0.000    0.000    0.000 :0(generate_state)
      947    0.001    0.000    0.001    0.000 :0(get)
     1084    0.001    0.000    0.001    0.000 :0(get_ident)
        1    0.000    0.000    0.000    0.000 :0(get_native_id)
     4536    0.005    0.000    0.005    0.000 :0(getattr)
       87    0.000    0.000    0.000    0.000 :0(getcwd)
       18    0.000    0.000    0.000    0.000 :0(geterrobj)
        1    0.000    0.000    0.000    0.000 :0(gethostname)
      368    0.000    0.000    0.000    0.000 :0(globals)
        3    0.000    0.000    0.000    0.000 :0(group)
        1    0.000    0.000    0.000    0.000 :0(groups)
     2553    0.003    0.000    0.003    0.000 :0(hasattr)
